study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,text_2.started,text_3.started,textbox.started,text_4.started,mouse.started,text_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,14,14,8,,,,,22.228870999999344,,22.201812599785626,22.228870999999344,22.228870999999344,23.1510818998795,1.0,0.9271247999276966,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,p_as_tr_,pastry,old,,,,,0,0,0,4,23.178979699965566,,,,,,,,23.154733099974692,23.178979699965566,23.178979699965566,23.178979699965566,0.006646599853411317,33.15282139996998,pastry,[],[],[],[],[],[],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,p_nc_l,pencil,new,,,,,0,1,1,16,33.16758729983121,,,,,,,,33.15363139985129,33.16758729983121,33.16758729983121,33.16758729983121,0.004229299956932664,39.590205299900845,"pencil
","[-0.045, -0.02]","[-0.24, -0.30333333333333334]","[1, 1]","[0, 0]","[0, 0]","[5.320215399842709, 6.434312699828297]",['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,ta_l_,table,new,,,,,0,2,2,15,39.603517199866474,,,,,,,,39.59077849984169,39.603517199866474,39.603517199866474,39.603517199866474,0.002175699919462204,49.59307049983181,ta,[],[],[],[],[],[],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,_a_bl_,marble,old,,,,,0,3,3,11,49.60710159991868,,,,,,,,49.593537599779665,49.60710159991868,49.60710159991868,49.60710159991868,0.004737100098282099,59.596659699920565,table,[0.055],[-0.17333333333333334],[1],[0],[0],[5.033174199983478],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,l_pt_p,laptop,old,,,,,0,4,4,0,59.61121579981409,,,,,,,,59.59719819994643,59.61121579981409,59.61121579981409,59.61121579981409,0.008451000088825822,69.60071589984,laptop,[-0.015],[-0.3933333333333333],[1],[0],[0],[3.265816899947822],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,_ho_e,phone,old,,,,,0,5,5,12,69.6147649998311,,,,,,,,69.60120219993405,69.6147649998311,69.6147649998311,69.6147649998311,0.012310300022363663,79.60469379997812,shone,[0.23166666666666666],[-0.26166666666666666],[1],[0],[0],[6.6030446998775005],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,_oo_,book,old,,,,,0,6,6,13,79.61897999979556,,,,,,,,79.60523419990204,79.61897999979556,79.61897999979556,79.61897999979556,0.016234900103881955,84.15805219998583,book,[-0.09833333333333333],[-0.2816666666666667],[1],[0],[0],[4.550661100074649],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,c_m_ra,camera,new,,,,,0,7,7,19,84.17080489988439,,,,,,,,84.15856699994765,84.17080489988439,84.17080489988439,84.17080489988439,0.0021964001934975386,94.16091719991527,camera,[0.15],[-0.235],[1],[0],[0],[3.714447099948302],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,_ou_se,mouse,old,,,,,0,8,8,3,94.17513949982822,,,,,,,,94.16152269998565,94.17513949982822,94.17513949982822,94.17513949982822,0.005570200039073825,104.16452159988694,m,[0.11666666666666667],[-0.265],[1],[0],[0],[0.12968580005690455],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,k_y_,keys,old,,,,,0,9,9,8,104.17857519979589,,,,,,,,104.16503929998726,104.17857519979589,104.17857519979589,104.17857519979589,0.008515699999406934,107.95101769990288,keys,[0.1],[-0.2783333333333333],[1],[0],[0],[3.7835623999126256],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,p_st_r,poster,old,,,,,0,10,10,9,107.9633174999617,,,,,,,,107.95151119981892,107.9633174999617,107.9633174999617,107.9633174999617,0.002328199800103903,111.30311369989067,poster,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[3.3488942000549287],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,_o_rd,board,old,,,,,0,11,11,10,111.31424699979834,,,,,,,,111.30366579978727,111.31424699979834,111.31424699979834,111.31424699979834,0.002170500112697482,117.37143179983832,cord,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[6.065249600214884],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,c_s_io_,cushion,old,,,,,0,12,12,14,117.38405039999634,,,,,,,,117.37192339985631,117.38405039999634,117.38405039999634,117.38405039999634,0.002126300008967519,123.10728090000339,cushion,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[5.732811900088564],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,T_hi_t,Tshirt,old,,,,,0,13,13,2,123.11931239999831,,,,,,,,123.10781369986944,123.11931239999831,123.11931239999831,123.11931239999831,0.002184899989515543,126.59148079995066,Tshirt,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[3.4811621999833733],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,c_s_,case,old,,,,,0,14,14,5,126.60436239978299,,,,,,,,126.59197389986366,126.60436239978299,126.60436239978299,126.60436239978299,0.0018706000410020351,128.4082666998729,case,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[1.8140273001044989],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,p_li_e,police,old,,,,,0,15,15,7,128.42121559986845,,,,,,,,128.40878149983473,128.42121559986845,128.42121559986845,128.42121559986845,0.0020157000981271267,138.4113107000012,pol,[],[],[],[],[],[],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,bo_t_e,bottle,new,,,,,0,16,16,18,138.42570959986188,,,,,,,,138.4118125999812,138.42570959986188,138.42570959986188,138.42570959986188,0.005010399967432022,148.4153402999509,boot,[],[],[],[],[],[],[],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,_ru_is_,cruise,old,,,,,0,17,17,6,148.42939599999227,,,,,,,,148.4158052999992,148.42939599999227,148.42939599999227,148.42939599999227,0.00907159992493689,151.51718889991753,cruise,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[3.0989276999607682],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,_ha_t,chart,old,,,,,0,18,18,1,151.5307469998952,,,,,,,,151.51775679993443,151.5307469998952,151.5307469998952,151.5307469998952,0.002040599938482046,153.55198309989646,chart,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[2.0317713001277298],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
,v_s_,vase,new,,,,,0,19,19,17,153.58086629980244,,,,,,,,153.55249699996784,153.58086629980244,153.58086629980244,153.58086629980244,0.003504999913275242,155.60266549978405,vase,[0.06166666666666667],[-0.30833333333333335],[1],[0],[0],[2.0461573998909444],['text_4'],ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
